"Link","Abstract"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169899962&doi=10.1080%2f0965254X.2023.2253801&partnerID=40&md5=354fd939e610b8a4be748ac1d1d861d7","The purpose of the study is to examine the influence of social media factors (credibility, trustworthiness, source credibility and self-efficacy) on consumer buying intention towards the branded product, with mediating (brand trust) and moderating effect (Persuasion knowledge) using Uses and Gratifications Theory. A total of 512 original samples were collected through purposive sampling methods and analyzed through structural equation modelling. The results reveal that credibility, trustworthiness, source credibility, and self-efficacy significantly impact brand trust, and trustworthiness, credibility; While self-efficacy played a significant role in the social media news to build strong brand trust. The brand trust had a positive and a robust mediating effect on consumer buying intention; and Persuasion knowledge positively moderates’ credibility, trustworthiness, source credibility, self-efficacy and consumer buying intention. This study provides important implications from marketing perceptive as it applies and extends the gratification theory and persuasion knowledge. Our findings are beneficial for key stakeholders of a brand that are facing serious advertising concerns due to widespread fake news. © 2023 Informa UK Limited, trading as Taylor & Francis Group."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168141163&doi=10.1109%2fICCES57224.2023.10192827&partnerID=40&md5=8249583066994256bb62c54b2514944a","Web sharing is a centralized trust system in order to trust users to establish, track, cancel, fare calculate, etc., the service providers. Any malicious activities performed on a centralized server system or vehicle or riders destroy the fairness of the ride and cause the party discomfort. The drivers are assessed by the riders after the ride has been completed. There can be a malicious driver who can claim reimbursement with a fake complaint and give the driver a poor rating. The current system cannot determine the correctness of both parties' objections and delivers the biased outcome of each objection in accordance with the centralized marketing strategies of the company. In order to ensure fair travel, a workaround that can be blocked is presented. The creation, completion, unrest, or abortion of a ride will be published in the block chain booklet so that the peer-to-peer network is available to all participants. This means that the interconnected credibility structure is managed equally at the same time. In Ethereal secure network as well as the KOVAN test network, that have implemented a prototype, and the analysis is included © 2023 IEEE."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138999080&doi=10.1002%2fcpe.7349&partnerID=40&md5=df653ee76ed41f9e13e8b827afbf7796","Recently, there has been a massive rise in the popularity of Instagram, which connects individuals globally and allows videos and images to be uploaded and exchanged, and communicated over social media. Instagram is also an online playground of deceit. The use of filters, lighting, and cunning angles transforms the mundane into something spectacular. Automated spam accounts and fake profiles use this to their malicious advantage for executing attacks targeting high-profile executives. Creating fake Instagram identities is easy to reproduce the idea of being accepted by many fans on social media. Fake accounts are used in the marketing of fake services and products. This research focused on designing and training a unique neural network model and proposed a new algorithm for detecting automated spam and fake Instagram account profiles. The precision and accuracy of the proposed method were achieved at 93% and 91%, respectively. © 2022 John Wiley & Sons, Ltd."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173577929&doi=10.1109%2fICCCN58024.2023.10230134&partnerID=40&md5=eb21cf7112722f79ebddde7e57260f78","Influencer Marketing generated 16 billion in 2022. Usually, the more popular influencers are paid more for their collaborations. Thus, many services were created to boost profiles' popularity metrics through bots or fake accounts. However, real people recently started participating in such boosting activities using their real accounts for monetary rewards, generating ungenuine content that is extremely difficult to detect. To date, no works have attempted to detect this new phenomenon, known as crowdturfing (CT), on Instagram. In this work, we propose the first Instagram CT engagement detector. Our algorithm leverages profiles' characteristics through semi-supervised learning to spot accounts involved in CT activities. Compared to the supervised approaches used so far to identify fake accounts, semi-supervised models can exploit huge quantities of unlabeled data to increase performance. We purchased and studied 1293 CT profiles from 11 providers to build our self-training classifier, which reached 95% F1-score. We tested our model in the wild by detecting and analyzing CT engagement from 20 mega-influencers (i.e., with more than one million followers), and discovered that more than 20 % was artificial. We analyzed the CT profiles and comments, showing that it is difficult to detect these activities based solely on their generated content. © 2023 IEEE."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187887712&doi=10.1186%2fs40691-024-00380-0&partnerID=40&md5=4ee7bbd1293f82ded59e17b1878bcaab","Recently, there has been a lot of interest in industry and academia in virtual influencers (VIs). This study aimed to augment the understanding of VI marketing by exploring the relationship between VI’s characteristics (i.e., their humanlikeness level and operator type), their social media post characteristics (i.e., emotional expression, use of pronouns, use of punctuation marks), and consumer engagement. The analysis of three popular VIs’ Instagram profiles and posts revealed that VIs with less humanlike appearances tend to exhibit stronger positive emotional expressions. Interestingly, the level of humanlikeness in appearance was not associated with VI's other post characteristics, suggesting other intrinsic factors (e.g., the VI’s character and virtual universe) may play a pivotal role. Whether a brand operates the VI or not made a statistically significant difference in the VI’s post characteristics. Assessment of user engagement metrics (i.e., number of likes and comments) showed that users prefer hyper-realistic VIs and VIs operated by non-brand agencies, underscoring the importance of perceived authenticity in the digital realm. The emotions expressed by VIs, along with their use of punctuation, were positively related to user engagement. © The Author(s) 2024."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186547034&doi=10.1007%2fs11301-024-00412-5&partnerID=40&md5=b1f88ebd0e56afe812d998b63815b5c6","This study aims to identify and classify the influencer marketing threats mentioned overtly or implicitly in previous studies on brand use and future research. In this study, a systematic literature review protocol was followed, in which 28 influencer marketing studies from January 2012 to January 2022 from ten databases were selected, and relevant data were extracted to answer the research questions. There are 11 identified threats to influencer marketing and include the following: fake followers and fake comments; lack of proper disclosure and explanation of sponsorship; inappropriate influencer selection; heavy brand control over influencers; insufficient brand control over content produced by influencers before publishing; choosing an inappropriate platform; the negative influence of influencers on the appearance of the brand; negative influence on the consumption, habits, and lifestyle of children; lack of proper and special contracts with influencers; increased saturation rate; and running parallel advertising for brands. The most prominent threats identified in the studies include inappropriate influencer selection; choosing an inappropriate platform; and the negative influence of influencers on the appearance of the brand. Using an inductive approach and zooming in and out of the target research, a general framework for influencer marketing threats was obtained. Brands, influencers, organizations, policy makers or researchers interested in influencer marketing and digital marketing can use the resulting framework of this research. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140463240&doi=10.1016%2fj.jbusres.2022.113368&partnerID=40&md5=e228933470979257209b24b7553408a4","Deepfakes—artificial but hyper-realistic video, audio, and images created by algorithms—are one of the latest technological developments in artificial intelligence. Amplified by the speed and scope of social media, they can quickly reach millions of people and result in a wide range of marketplace deceptions. However, extant understandings of deepfakes’ implications in the marketplace are limited and fragmented. Against this background, we develop insights into the significance of deepfakes for firms and consumers—the threats they pose, how to mitigate those threats, and the opportunities they present. Our findings indicate that the main risks to firms include damage to image, reputation, and trustworthiness and the rapid obsolescence of existing technologies. However, consumers may also suffer blackmail, bullying, defamation, harassment, identity theft, intimidation, and revenge porn. We then accumulate and present knowledge on the strategies and mechanisms to safeguard against deepfake-based marketplace deception. Furthermore, we uncover and report the various legitimate opportunities offered by this new technology. Finally, we present an agenda for future research in this emergent and highly critical area. © 2022 Elsevier Inc."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195259938&doi=10.1016%2fj.heliyon.2024.e32467&partnerID=40&md5=52337317e952b2f6ec33da7007fab8e7","In recent years, there has been a growing need for social media platforms to offer services that preserve and promote users' digital wellbeing, including better protection of personal data and balanced technology usage. However, the current business model of social media is often seen as in conflict with users' digital wellbeing. In 2020, a study investigated users' willingness to pay monetary fees for social media digital wellbeing services. In the present work, we replicated this study in Q4 of 2022, aiming to explore any changes in interest and willingness to pay for these services. In addition, we extended the replication by conducting qualitative analysis on participants' comments to gain deeper insight and identify reasons for payment and reasons for rejecting to pay. Data were collected from 262 participants through an online questionnaire. The survey focused on four services: better data protection, less use of data for marketing, aiding users in controlling their prolonged usage, and reducing fake news and radicalisation on social media. The results showed that the willingness to pay for these services was significantly higher in 2022 compared to the results published in 2020. Participants expressed concerns about the feasibility and fairness of the alternative business model, which requires users to pay for safety and support. Our findings suggest a growing interest in digital wellbeing services, emphasizing the need for social media platforms to assess the feasibility of alternative business models, identify user segments, and take measures to enhance consumers’ trust, accordingly. © 2024"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129143040&doi=10.1108%2fREGE-01-2021-0015&partnerID=40&md5=b6504d66c79f7facc276d1956cfae42b","Purpose: This research aimed to analyze how information on public policies to mitigate the judicialization of the SUS (Brazilian Unified Health System) have been disseminated via digital media to citizens and stakeholders. Design/methodology/approach: Under a qualitative and inductive paradigm, the research was based on the search for news on the Google pages. Data were grouped into higher categories to formalize theoretical generalizations. Findings: Data analysis showed that there are news classified into 11 codes, forming three news groups broadcast as an effort by the programs to legitimize themselves with society: Perceived Quality, Publicity Produced and Results Achieved. Research limitations/implications: The relationship between the effectiveness of public policies and their dissemination in digital media has implications for the result/legitimacy relationship, not excluding that public marketing can make a program legitimate without having results that confirm its effectiveness. Social implications: The work provides a means of understanding the dissemination of public policies, in particular, verifying whether these are being provided in order to establish responsible and transparent communication with the citizen or to legitimize public policies without effective results. Originality/value: The proposed conceptual model is based on four quadrants and represents the relationship between the results achieved by public policies and legitimacy, considering a phenomenon resulting from public marketing. The association between the intensity of these constructs constitutes four themes: fake public marketing, inefficient public policy, deficient public marketing and full public policy. © 2021, Fernanda Rodrigues de Siqueira, Carlos André da Silva Müller and Osmar Siena."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175221437&doi=10.4018%2f978-1-6684-7519-5.ch013&partnerID=40&md5=41dec0743c787837d6f3377212e4fe8c","This chapter explored the role of social media in marketing Islamic medicine. The chapter utilized qualitative case study approach through interviews and participant observation. Using purposive sampling, a sample of ten respondents were interviewed in Kano and Kaduna. The author found that social media has strategic positive implications for the marketing of Islamic medicines in Northern Nigeria. In addition, Islamic medicine practitioners use content creation and influencer marketing to create awareness and increase visibility of their products. The prospects of social media adoption lie in the promotion and customization of advertising strategies such as influencer marketing and content creation, which draw attention and aid in promoting a product. Despite its prospect in expanding market share, lack of regulation and the spread of fake news pose serious challenges. Therefore, the chapter suggested that the Nigerian government should support and encourage the business of Islamic medicine through regulations on health standards, fair marketing policies and sound digital innovation. © 2023, IGI Global. All rights reserved."
